x0,x1,x2,x3,x4,x5,x6,x7
-0.808,1.174,-0.201,1.206,-0.119,-1.196,-0.168,-0.326
-0.692,0.632,0.925,0.791,-0.506,-1.346,0.2,1.075
-0.259,0.283,0.235,0.234,-0.27,0.769,-0.144,1.019
-0.194,0.432,0.411,1.438,-1.564,0.966,0.253,0.966
-0.526,-0.56,-0.029,-0.514,0.232,1.439,-0.084,-0.707
-0.289,-0.5,0.077,-0.865,-0.216,1.282,1.705,0.325
-1.124,-0.268,0.319,-1.723,-0.503,0.83,1.05,0.709
-1.778,-0.092,-0.495,-1.556,-0.556,0.855,-0.22,0.857
-2.077,-1.424,1.377,-1.386,-0.192,-0.955,1.204,-2.744
-0.562,-0.339,0.497,-0.27,1.797,-1.042,0.991,-0.848
0.987,0.258,1.383,0.343,-0.931,-1.036,1.593,-0.145
0.589,-1.002,0.636,0.19,0.048,-0.408,-0.204,0.75
0.44,-0.324,-0.081,0.678,-1.55,-0.247,0.42,-0.647
-0.098,-0.776,-0.308,0.071,-0.042,0.316,0.745,-0.661
-0.871,-1.47,0.625,0.743,-0.345,1.178,0.086,0.536
-1.064,-0.982,0.584,1.508,-1.037,0.265,0.605,1.585
0.153,-0.947,1.0,0.084,0.98,1.863,0.804,0.291
0.044,-0.513,-0.429,-0.866,0.061,2.271,-0.366,-0.37
0.904,0.493,0.603,-0.492,0.688,0.017,-0.733,0.455
1.584,-0.064,-1.626,-0.267,0.608,0.765,-0.372,0.212
1.389,-2.557,-1.938,0.242,0.317,1.493,-0.781,0.614
-0.119,-1.209,-1.426,0.513,-0.228,-0.879,-0.222,1.825
-2.405,-1.026,-1.658,-0.351,-0.726,-0.077,-0.484,0.819
-2.703,-0.559,-0.495,0.869,-0.577,-0.576,0.377,0.891
-2.045,0.351,0.579,2.258,-1.415,-0.871,0.848,-1.17
-1.917,-0.756,-0.734,0.665,-0.295,1.043,0.449,0.0
-0.265,-0.099,0.849,1.778,-0.167,1.28,2.406,-1.082
0.502,1.202,-0.027,1.654,0.429,1.932,1.412,-0.593
-0.317,-0.042,1.053,1.15,0.148,1.322,0.686,0.077
0.286,-0.039,-0.525,-0.656,0.311,0.966,-0.027,-1.095
