0,1,2,3,4,5,6,7,8,9
0.072,-0.038,0.106,0.028,0.034,-0.069,0.148,0.156,-0.122,-0.096
0.197,-0.046,-0.137,0.088,0.16,0.024,-0.137,-0.029,0.163,0.043
0.042,0.089,-0.078,0.071,0.099,0.245,0.001,-0.095,0.121,0.178
0.079,0.105,-0.014,-0.143,0.069,0.074,-0.104,0.195,0.086,0.174
-0.026,-0.186,-0.148,0.016,0.017,0.038,-0.207,0.111,-0.025,0.051
-0.025,0.169,-0.072,-0.146,-0.031,0.086,-0.16,-0.027,0.014,0.06
-0.103,-0.001,-0.063,-0.136,-0.151,0.022,-0.165,0.013,0.149,-0.005
0.017,-0.065,-0.111,0.039,-0.129,0.004,0.03,-0.25,0.212,-0.048
0.081,-0.075,-0.086,0.17,-0.186,-0.334,0.023,0.03,0.037,0.055
0.179,0.112,0.099,0.097,-0.032,-0.091,0.057,-0.076,0.128,-0.029
0.286,-0.023,-0.085,-0.015,0.112,0.047,0.127,0.007,-0.228,-0.255
0.144,0.043,0.066,0.118,0.24,-0.23,0.134,0.001,-0.111,-0.061
0.288,0.064,0.073,0.154,0.183,-0.012,0.127,0.003,-0.087,0.029
0.2,0.171,0.065,-0.014,0.177,-0.143,-0.002,-0.166,-0.164,-0.007
0.102,0.054,0.161,0.07,0.164,-0.125,0.125,0.081,-0.085,0.116
-0.05,0.14,0.038,0.073,0.357,0.013,-0.007,0.144,-0.044,0.05
-0.168,0.265,0.077,-0.22,0.063,-0.054,0.105,-0.026,0.14,0.095
-0.074,0.383,0.024,0.018,0.183,0.062,0.31,-0.004,0.186,0.224
-0.055,0.105,0.041,0.0,0.152,0.082,0.129,-0.181,0.046,0.171
-0.144,0.333,-0.025,-0.135,0.103,0.086,0.225,-0.088,0.031,0.17
-0.007,-0.018,0.148,0.068,0.055,-0.109,-0.008,-0.147,0.301,0.074
-0.155,-0.069,0.061,0.015,0.103,0.168,0.101,-0.024,0.114,0.227
-0.042,-0.073,0.041,-0.041,0.203,0.045,0.116,-0.069,0.026,0.136
-0.057,-0.027,0.147,0.048,0.089,0.021,-0.071,0.034,0.097,-0.064
0.146,0.061,0.238,0.019,0.217,0.062,-0.362,-0.093,-0.05,0.087
0.038,0.096,0.113,0.034,0.103,0.116,-0.025,0.04,-0.001,-0.227
-0.021,0.056,-0.043,0.093,0.028,0.179,0.09,-0.114,0.037,0.148
0.204,0.009,-0.093,-0.037,0.063,0.048,-0.042,-0.12,-0.047,0.089
-0.198,0.147,-0.089,-0.003,-0.037,-0.008,0.221,0.217,-0.007,0.045
0.06,0.106,-0.092,0.009,-0.14,-0.057,-0.03,-0.049,0.067,0.153
-0.101,0.003,0.251,-0.154,0.079,-0.287,0.028,0.065,0.053,-0.167
-0.097,0.066,-0.075,-0.043,-0.072,-0.023,0.023,0.05,-0.032,0.07
0.104,0.124,-0.003,-0.006,-0.082,-0.249,-0.277,-0.02,-0.01,-0.212
0.122,0.203,-0.179,0.037,-0.184,-0.031,0.07,0.003,-0.156,-0.083
-0.187,-0.066,-0.063,-0.097,-0.195,-0.001,0.127,-0.129,-0.286,-0.022
-0.02,-0.002,0.099,-0.158,0.064,0.018,0.075,-0.1,-0.067,-0.033
0.02,-0.001,-0.049,-0.07,-0.029,-0.058,0.255,-0.104,-0.156,-0.006
-0.143,-0.14,0.229,-0.059,0.139,0.071,0.074,-0.074,-0.197,-0.176
-0.021,-0.05,-0.062,0.166,0.05,0.211,0.034,0.027,-0.263,0.015
-0.169,0.056,0.019,0.011,0.087,-0.036,0.02,0.113,-0.223,0.022
-0.1,0.09,0.199,0.058,0.15,0.068,0.087,0.254,-0.223,-0.16
-0.139,0.094,-0.048,0.037,0.321,-0.108,-0.017,0.122,-0.303,-0.056
-0.147,0.121,0.003,0.095,-0.09,0.167,-0.015,-0.04,-0.3,0.037
-0.273,0.037,0.103,0.008,0.036,-0.062,0.031,0.106,0.036,-0.173
-0.083,0.111,0.059,0.031,0.021,0.022,-0.189,-0.012,-0.1,-0.041
-0.121,-0.158,0.104,-0.042,0.099,0.05,0.159,-0.076,-0.035,0.123
-0.235,0.182,-0.028,0.109,-0.028,0.191,0.012,-0.094,0.022,0.086
-0.273,0.083,0.149,0.059,0.101,0.013,-0.048,-0.072,-0.095,-0.104
-0.224,0.07,0.103,0.115,0.092,0.124,0.052,0.07,0.037,0.089
-0.291,0.131,0.187,-0.022,-0.077,0.095,-0.025,-0.004,0.048,-0.046
-0.148,0.103,0.009,-0.0,0.001,0.168,-0.179,-0.085,-0.11,0.1
0.002,-0.214,-0.059,0.104,-0.077,0.081,0.114,-0.05,-0.121,0.127
-0.068,0.028,-0.011,-0.017,-0.034,0.021,0.06,-0.079,0.077,-0.036
-0.051,-0.104,-0.199,-0.165,-0.154,0.035,-0.088,-0.077,-0.049,-0.035
-0.135,-0.188,0.182,-0.099,-0.058,-0.002,-0.147,-0.133,-0.16,-0.045
-0.018,-0.088,0.016,0.085,-0.298,0.084,-0.016,-0.037,0.047,-0.055
-0.123,-0.108,-0.067,0.01,-0.166,0.002,-0.131,-0.063,-0.049,-0.089
0.061,-0.158,-0.068,0.054,-0.101,0.164,0.004,-0.09,-0.17,-0.033
-0.238,-0.116,-0.05,-0.073,0.011,-0.054,-0.161,0.042,0.064,-0.172
-0.102,-0.161,-0.193,0.09,0.164,0.034,-0.0,0.045,-0.1,-0.068
-0.102,-0.133,-0.26,-0.148,-0.077,-0.105,-0.058,0.101,0.081,-0.022
-0.282,-0.069,-0.076,0.064,-0.006,-0.367,-0.086,-0.005,0.143,0.091
-0.073,-0.013,-0.062,-0.036,-0.166,-0.176,-0.218,0.109,0.119,0.228
0.022,-0.013,-0.067,-0.256,-0.17,-0.183,-0.049,0.053,0.097,-0.135
0.028,-0.011,-0.125,-0.091,-0.134,-0.172,0.046,0.064,-0.124,0.053
0.021,-0.006,-0.148,-0.087,-0.161,-0.213,0.056,-0.096,0.024,0.038
-0.073,-0.156,-0.165,-0.139,0.057,-0.168,0.16,-0.21,-0.001,-0.105
0.031,-0.124,0.026,-0.126,0.126,-0.184,-0.04,-0.043,0.035,0.05
0.015,-0.129,0.006,-0.21,-0.075,-0.414,0.034,-0.061,0.06,0.039
-0.09,-0.082,0.126,-0.017,0.16,-0.185,-0.001,-0.053,0.005,-0.025
-0.072,-0.056,0.02,0.002,-0.023,0.04,-0.061,-0.126,0.072,0.022
0.019,-0.13,0.08,-0.143,-0.173,0.15,-0.253,0.007,-0.255,-0.026
0.004,-0.05,0.096,0.061,0.051,0.004,-0.108,-0.271,-0.044,-0.071
-0.111,-0.131,0.054,0.223,-0.222,-0.116,-0.173,-0.023,0.09,-0.172
0.047,-0.279,-0.114,0.024,-0.303,0.014,0.041,0.055,-0.067,-0.094
-0.079,-0.147,-0.115,0.114,0.01,0.007,-0.08,-0.092,0.057,-0.013
0.004,-0.191,0.104,-0.054,-0.162,-0.23,-0.177,0.145,0.12,-0.05
0.055,-0.162,-0.116,0.007,-0.092,-0.05,0.107,-0.028,0.135,0.009
0.043,-0.203,0.035,0.15,-0.217,-0.039,-0.183,0.028,0.102,0.049
0.034,-0.111,0.228,-0.02,-0.06,-0.051,-0.125,-0.058,0.003,0.089
0.138,-0.083,-0.093,0.093,-0.058,-0.002,-0.217,-0.053,0.089,0.012
0.113,-0.092,-0.016,0.155,-0.19,-0.127,-0.259,0.166,0.135,0.002
0.196,-0.164,-0.063,0.061,-0.175,0.132,-0.126,-0.026,0.103,0.053
0.078,-0.164,-0.166,0.113,-0.345,0.062,-0.041,-0.016,0.07,-0.044
0.173,-0.106,-0.176,0.074,-0.161,-0.035,-0.138,0.012,0.157,-0.039
0.152,-0.126,-0.205,0.014,-0.088,0.006,-0.239,-0.125,-0.04,-0.136
0.193,-0.121,-0.065,-0.196,-0.225,-0.097,-0.091,-0.023,0.066,0.084
0.063,-0.134,-0.173,0.033,-0.03,0.045,0.025,-0.088,-0.033,0.074
-0.291,-0.1,-0.026,-0.217,-0.301,0.109,-0.07,-0.21,0.07,-0.016
-0.124,-0.063,0.06,0.134,-0.049,0.011,0.109,-0.078,-0.117,-0.286
0.078,-0.247,0.024,0.013,0.055,-0.009,0.015,0.072,0.078,0.025
-0.023,0.046,0.057,0.141,0.126,0.22,0.087,-0.008,0.076,-0.106
-0.031,-0.106,0.031,0.135,0.144,-0.046,0.185,0.047,-0.068,-0.018
0.022,-0.096,0.233,0.048,-0.069,0.18,0.033,0.055,-0.088,0.069
-0.155,-0.035,0.28,0.155,0.207,0.234,0.002,-0.019,0.102,0.046
-0.059,0.078,0.054,0.093,0.045,0.214,0.069,0.338,-0.024,-0.099
-0.048,-0.015,-0.008,0.269,0.051,0.138,-0.094,-0.004,0.067,0.101
-0.087,-0.019,-0.016,-0.012,-0.066,-0.033,-0.001,0.089,0.107,0.091
0.107,0.099,-0.005,0.107,0.066,0.195,-0.098,0.08,0.104,0.075
0.021,-0.044,-0.057,-0.123,-0.179,-0.033,0.0,0.258,0.121,0.058
-0.021,0.003,-0.052,-0.168,0.023,-0.026,-0.029,-0.082,-0.138,0.131
-0.021,0.018,0.103,-0.086,0.139,0.135,0.016,0.008,0.273,0.034
-0.001,0.112,-0.071,0.097,-0.044,0.062,0.001,-0.222,0.0,0.103
0.04,0.27,-0.039,0.05,0.02,0.103,-0.052,-0.258,0.102,0.12
-0.004,0.033,0.027,0.075,-0.056,0.029,0.2,-0.311,0.118,0.282
-0.009,-0.179,0.089,-0.087,-0.057,0.013,0.024,-0.195,0.195,-0.031
-0.085,0.22,0.154,-0.189,0.083,-0.074,0.108,-0.019,0.136,0.035
0.163,-0.061,0.043,-0.005,0.056,0.13,0.21,-0.151,0.112,0.076
0.094,0.064,0.136,0.001,0.052,0.246,0.114,0.032,0.098,0.086
-0.016,0.036,0.138,0.063,0.227,0.128,0.008,-0.025,0.156,0.03
0.184,-0.067,0.079,0.019,0.141,0.193,0.049,-0.089,-0.046,0.175
-0.036,0.016,0.061,0.052,0.16,0.188,-0.081,0.003,0.159,0.065
-0.028,0.055,0.08,0.07,-0.062,0.219,0.176,-0.011,0.211,0.356
0.259,0.081,0.068,0.042,0.066,-0.004,-0.117,0.046,0.06,0.121
0.048,0.104,0.041,0.059,0.115,0.005,0.014,0.104,0.066,0.124
-0.017,0.093,0.164,-0.07,-0.004,-0.046,-0.004,-0.062,0.158,0.144
0.184,0.072,0.225,0.058,0.053,-0.14,0.003,0.215,0.147,0.21
-0.028,-0.012,-0.106,0.105,-0.046,0.092,0.11,-0.07,0.066,0.015
0.033,-0.114,0.125,0.16,0.08,0.112,0.061,-0.12,0.062,-0.115
0.17,0.072,-0.074,0.103,0.055,0.033,0.21,0.106,-0.067,0.153
0.107,-0.06,0.112,-0.009,-0.029,0.06,0.144,-0.184,-0.076,-0.047
-0.038,0.018,0.053,0.093,-0.029,0.188,0.15,-0.135,0.038,-0.063
0.104,-0.014,-0.033,0.094,0.005,-0.134,-0.023,0.14,0.159,0.04
0.168,-0.063,0.148,0.08,0.058,0.001,-0.032,-0.161,0.036,-0.04
-0.108,0.013,0.187,-0.012,0.016,0.225,-0.123,0.151,-0.051,0.148
-0.033,0.05,0.028,0.227,-0.154,0.115,-0.07,-0.017,0.154,-0.074
-0.115,0.104,0.051,0.232,0.038,0.229,-0.047,0.022,-0.06,-0.156
-0.051,0.034,-0.012,0.042,-0.148,0.018,-0.064,-0.032,-0.121,-0.066
-0.173,0.027,-0.034,0.183,0.023,0.093,-0.08,-0.004,-0.052,-0.161
-0.082,0.133,0.086,-0.046,0.022,-0.0,0.026,0.218,-0.071,-0.087
-0.164,0.036,0.021,-0.023,0.089,-0.069,-0.02,0.129,-0.215,-0.191
-0.044,0.086,-0.023,-0.201,-0.123,0.012,-0.134,0.109,-0.197,-0.018
-0.29,-0.137,0.082,-0.137,0.212,0.061,0.03,-0.153,-0.265,-0.044
-0.164,0.027,0.127,-0.058,0.068,0.129,0.024,0.018,-0.111,0.006
-0.124,-0.185,0.041,-0.057,-0.129,0.037,0.044,0.056,0.05,0.171
-0.143,-0.016,0.137,0.014,0.095,0.055,0.079,-0.132,0.008,-0.064
-0.122,-0.066,-0.098,-0.071,0.063,0.094,-0.04,0.047,0.083,-0.017
0.273,0.003,0.015,-0.061,-0.125,0.044,0.106,-0.159,0.088,0.099
0.114,0.063,-0.1,-0.111,0.095,0.174,0.158,0.028,0.244,-0.211
-0.014,0.051,-0.009,-0.035,0.165,-0.052,0.013,-0.125,0.082,-0.132
0.212,0.05,-0.101,0.083,-0.014,-0.021,-0.03,-0.159,0.192,0.156
0.096,0.034,-0.139,0.028,0.027,0.122,0.03,-0.096,0.136,-0.03
0.008,0.293,-0.234,-0.023,-0.029,0.016,-0.047,-0.268,-0.007,0.057
0.105,0.057,-0.134,0.041,-0.171,-0.08,0.27,-0.132,0.136,0.142
0.162,0.02,-0.077,-0.085,-0.116,-0.163,0.014,-0.189,0.112,-0.209
0.179,-0.086,-0.124,-0.26,-0.07,-0.087,0.23,-0.073,0.108,0.0
