0,1,2,3,4,5,6,7,8,9
-2.16,-2.388,-3.035,-2.829,-2.901,-3.755,-3.634,-3.496,-3.205,-3.1
-2.863,-2.527,-2.53,-2.785,-3.025,-3.487,-2.833,-2.78,-2.751,-3.118
-2.996,-2.085,-3.213,-2.802,-2.165,-2.845,-2.482,-2.204,-2.513,-3.109
-1.99,-2.249,-1.891,-1.321,-1.847,-2.223,-1.579,-1.516,-1.014,-1.601
-1.507,-1.105,-1.448,-0.155,-0.928,-0.517,-0.435,-0.684,-0.396,-1.381
-1.378,-0.424,1.07,0.23,-0.204,0.293,-0.152,-0.387,0.696,-0.762
-1.652,0.495,0.959,1.525,0.673,1.19,0.22,0.454,-0.205,-0.718
-0.259,0.059,1.808,1.236,1.575,1.21,0.496,1.179,-0.033,-0.767
0.302,0.941,2.926,2.162,1.811,0.996,0.123,0.854,-0.845,-1.049
0.685,2.147,2.572,2.695,1.598,0.534,-0.337,0.621,-1.105,-1.486
1.289,0.832,3.622,2.64,1.033,-0.513,-0.55,0.428,-0.672,-0.022
2.345,2.275,3.628,1.838,0.951,-0.901,-1.825,0.283,0.142,-0.724
2.001,2.055,3.927,1.347,-0.499,-0.827,-1.131,0.67,0.339,-0.069
2.453,1.674,3.247,1.47,-0.772,-1.942,-1.079,1.094,1.505,0.658
2.436,0.786,1.992,0.52,-1.51,-1.669,-0.259,1.78,1.655,0.967
3.203,1.356,3.076,-0.13,-1.242,-1.004,0.13,2.117,2.129,-0.159
3.041,2.09,3.837,-0.045,-1.778,-0.918,1.496,1.81,1.919,-0.727
3.547,1.679,2.274,-0.054,-0.724,-0.08,2.092,2.489,1.654,-1.243
4.153,3.099,2.02,0.728,-0.741,0.446,2.89,2.278,1.073,-1.457
3.044,3.291,1.47,0.423,0.332,1.441,3.487,1.739,0.725,-0.925
2.469,3.403,0.489,1.481,0.976,2.078,3.786,1.414,0.209,-0.354
2.414,3.177,0.948,1.086,1.47,2.677,2.553,0.492,0.373,1.018
2.673,3.987,0.087,1.813,1.99,3.281,2.322,-0.136,0.194,1.767
2.279,3.264,0.046,2.53,1.801,3.862,0.697,-0.407,0.628,3.303
2.57,2.221,-0.186,0.943,1.939,3.658,-0.115,-0.135,1.163,3.361
1.596,1.306,0.349,1.65,1.583,3.046,-0.724,0.392,1.523,3.015
1.541,0.332,-0.683,0.883,1.914,2.553,-1.415,0.891,1.446,1.962
1.583,-1.212,-0.945,0.811,1.023,1.115,-0.901,1.168,0.909,1.527
0.891,-0.306,-0.277,0.415,1.9,0.399,-0.926,1.821,0.519,0.109
1.55,-0.98,-0.168,0.822,0.037,-1.014,0.121,2.271,-0.402,-1.744
1.066,-0.493,1.255,1.533,0.496,-1.775,0.497,2.409,-1.063,-1.247
2.028,-0.967,1.396,1.201,-0.501,-1.628,1.631,2.121,-1.283,-1.429
0.51,-0.431,1.374,2.555,-0.183,-1.59,2.361,0.789,-1.263,-0.948
2.165,-0.004,1.967,3.571,0.392,-0.252,2.579,0.456,-0.837,-0.524
