LRCA1101.MV,LRCA1101.PV,0.015
LRCA1101.MV,PDR1106.PV,0.001
LRCA1101.MV,PDR1401.PV,0.008
LRCA1101.MV,PIC1101A.PV,0.025
LRCA1101.MV,PI_1132A.PV,0.007
LRCA1101.MV,TI1105A.PV,0.035
LRCA1101.MV,TIC_1101.MV,0.002
LRCA1101.MV,TIC_1101.PV,0.008
LRCA1101.MV,TI_1145.PV,0.002
LRCA1101.PV,LRCA1101.MV,0.005
LRCA1101.PV,PDR1106.PV,0.04
LRCA1101.PV,PDR1401.PV,0.031
LRCA1101.PV,PIC1101A.PV,0.023
LRCA1101.PV,PI_1132A.PV,0.001
LRCA1101.PV,TI1105A.PV,0.019
LRCA1101.PV,TIC_1101.MV,0.021
LRCA1101.PV,TIC_1101.PV,0.028
LRCA1101.PV,TI_1145.PV,0.024
PDR1106.PV,LRCA1101.MV,0.002
PDR1106.PV,LRCA1101.PV,0.001
PDR1106.PV,PIC1101A.PV,0.001
PDR1106.PV,PI_1132A.PV,0.004
PDR1106.PV,TIC_1101.PV,0.003
PDR1106.PV,TI_1145.PV,0.001
PDR1401.PV,LRCA1101.MV,0.011
PDR1401.PV,LRCA1101.PV,0.041
PDR1401.PV,PDR1106.PV,0.028
PDR1401.PV,PI_1132A.PV,0.009
PDR1401.PV,TI1105A.PV,0.003
PDR1401.PV,TIC_1101.MV,0.005
PDR1401.PV,TI_1145.PV,0.001
PIC1101A.PV,LRCA1101.PV,0.002
PIC1101A.PV,PDR1106.PV,0.001
PIC1101A.PV,PDR1401.PV,0.01
PIC1101A.PV,PI_1132A.PV,0.019
PIC1101A.PV,TI1105A.PV,0.002
PIC1101A.PV,TIC_1101.MV,0.021
PIC1101A.PV,TIC_1101.PV,0.008
PIC1101A.PV,TI_1145.PV,0.019
PI_1132A.PV,PDR1106.PV,0.001
PI_1132A.PV,PIC1101A.PV,0.001
PI_1132A.PV,TIC_1101.MV,0.031
PI_1132A.PV,TIC_1101.PV,0.001
PI_1132A.PV,TI_1145.PV,0.026
TI1105A.PV,LRCA1101.MV,0.008
TI1105A.PV,LRCA1101.PV,0.01
TI1105A.PV,PDR1106.PV,0.002
TI1105A.PV,PDR1401.PV,0.002
TI1105A.PV,PIC1101A.PV,0.009
TI1105A.PV,PI_1132A.PV,0.01
TI1105A.PV,TIC_1101.MV,0.001
TI1105A.PV,TIC_1101.PV,0.039
TI1105A.PV,TI_1145.PV,0.001
TIC_1101.MV,LRCA1101.MV,0.014
TIC_1101.MV,LRCA1101.PV,0.008
TIC_1101.MV,PDR1106.PV,0.052
TIC_1101.MV,PIC1101A.PV,0.001
TIC_1101.MV,PI_1132A.PV,0.03
TIC_1101.MV,TI1105A.PV,0.022
TIC_1101.MV,TIC_1101.PV,0.008
TIC_1101.MV,TI_1145.PV,0.018
TIC_1101.PV,LRCA1101.PV,0.035
TIC_1101.PV,PDR1106.PV,0.001
TIC_1101.PV,PDR1401.PV,0.016
TIC_1101.PV,PIC1101A.PV,0.001
TIC_1101.PV,PI_1132A.PV,0.017
TIC_1101.PV,TI1105A.PV,0.008
TIC_1101.PV,TIC_1101.MV,0.004
TIC_1101.PV,TI_1145.PV,0.001
TI_1145.PV,LRCA1101.MV,0.002
TI_1145.PV,LRCA1101.PV,0.033
TI_1145.PV,PDR1106.PV,0.019
TI_1145.PV,PDR1401.PV,0.006
TI_1145.PV,PIC1101A.PV,0.01
TI_1145.PV,PI_1132A.PV,0.012
TI_1145.PV,TI1105A.PV,0.008
TI_1145.PV,TIC_1101.MV,0.013
TI_1145.PV,TIC_1101.PV,0.007
